hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Mui Ne Hills Backpackers,"10.949288,108.200265",,,Standard Double Room,,2,2 out of 5,8.5,Very good,"1,670 reviews","VND 300,000",
Bao Quynh Bungalow,"10.9444072223615,108.196280300617",,,Standard Double Room,,2,3 out of 5,8.8,Fabulous,462 reviews,"VND 964,800",Breakfast included
Villa Aria Muine,"10.9494817881398,108.206596076488",,,Garden Superior Double or Twin Room,,2,3 out of 5,9.1,Superb,116 reviews,"VND 1,317,500","Breakfast included,FREE cancellation,• No prepayment needed"
Terra Private Garden view in Cliff Resort & Residences,"10.9367438576427,108.178532123566",,,Two-Bedroom Villa with Garden View,,4,4 out of 5,8.4,Very good,75 reviews,"VND 2,768,040",
Blue Bay Mui Ne Resort & Spa,"10.992623108438,108.343388736248",,,Superior Double or Twin Room with Garden View,,2,4 out of 5,5.0,Review score,28 reviews,"VND 874,800","Breakfast included,FREE cancellation,• No prepayment needed"
Ocean Vista,"10.9382686459987,108.183987736702",,,One-Bedroom Apartment with Garden View,,2,4 out of 5,8.4,Very good,46 reviews,"VND 1,925,010",Breakfast included
iHome Backpacker Resort - The iHome Original,"10.9533427042141,108.241772571064",,,Double Room,,2,,8.8,Fabulous,375 reviews,"VND 337,500","FREE cancellation,• No prepayment needed"
Nghĩ dưỡng Biển Ngọc,"10.931053042253,108.126835963398",,,Bungalow - Beach Front,,2,3 out of 5,8.8,Fabulous,67 reviews,"VND 270,000",
Terracotta Resort & Spa,"10.9448154028963,108.196814060211",,,Deluxe Double or Twin Room,,2,4 out of 5,8.3,Very good,53 reviews,"VND 1,423,750","Breakfast included,FREE cancellation,• No prepayment needed"
MiNhon Hotel Muine,"10.9538637394239,108.244092227098",,,Double Room with Patio,,2,2 out of 5,9.3,Superb,631 reviews,"VND 598,500",
Phố Đá Hotel,"10.686984542744,107.763414542328",,,Standard Double Room,,2,2 out of 5,7.6,Good,242 reviews,"VND 200,000",
Lotus Garden Muine Resort & Spa,"10.9545243500943,108.242599",,,Double or Twin Room - Disability Access,,2,3 out of 5,8.2,Very good,20 reviews,"VND 457,587","FREE cancellation,• No prepayment needed"
Mui Ne Garden Apartment,"10.9494162828174,108.200238738209",,,Superior Double Room with Garden View,,2,3 out of 5,8.7,Fabulous,333 reviews,"VND 470,250",
Hoang Ngoc Beach Resort,"10.9546727188608,108.237445354825",,,Superior Double or Twin Room,,2,4 out of 5,8.6,Fabulous,602 reviews,"VND 1,330,000",Breakfast included
MoonLight,"10.933086,108.113521",,,Standard Double Room - No Window,,2,,7.9,Good,191 reviews,"VND 350,000",
Romana Resort & Spa,"10.9323649121807,108.162448108151",,,Deluxe Room - Ocean View,,2,4 out of 5,7.9,Good,449 reviews,"VND 1,007,200",Breakfast included
Ca Ty Muine Resort,"10.938530947738,108.189369326649",,,Superior Double or Twin Room with Garden View,,2,4 out of 5,8.6,Fabulous,244 reviews,"VND 739,200",
Hai Yen Family Resort,"10.9552909663467,108.23224067688",,,Economy Double Room - Hill Side,,2,3 out of 5,6.5,Review score,44 reviews,"VND 307,256",
Muine Bay Resort,"10.921432335907,108.293652534485",,,Superior Double or Twin Room,,2,4 out of 5,8.9,Fabulous,668 reviews,"VND 1,243,550",Breakfast included
Azerai Ke Ga Bay,"10.708978,107.97964",,,Deluxe Suite,,2,5 out of 5,9.0,Superb,26 reviews,"VND 7,060,515",Breakfast included
Phan Thiet Ocean Dunes Resort,"10.9286352227563,108.119480609894",,,Superior Double or Twin Room with City View,,2,4 out of 5,7.9,Good,93 reviews,"VND 1,140,000",Breakfast included
Nhat Minh Hotel,"10.6691120590837,107.760992713384",,,Double Room,,2,3 out of 5,7.3,Good,119 reviews,"VND 400,000","FREE cancellation,• No prepayment needed"
Saigon Mui Ne Resort,"10.948109794239,108.204072117805",,,Standard Double or Twin Room Hill Side - Across street,,2,4 out of 5,7.9,Good,150 reviews,"VND 1,036,837","Breakfast included,FREE cancellation,• No prepayment needed"
Poshanu Resort,"10.9376102754771,108.177974224091",,,Luxury Bungalow,,2,4 out of 5,8.6,Fabulous,194 reviews,"VND 1,542,750","Breakfast included,FREE cancellation,• No prepayment needed"
Vivian Hotel Mui Ne,"10.95409,108.21974",,,Superior Double Room,,2,2 out of 5,8.5,Very good,45 reviews,"VND 497,000","FREE cancellation,• No prepayment needed"
Swiss Village Resort & Spa,"10.9544957002711,108.220098316669",,,Superior Double or Twin Room,,2,4 out of 5,7.5,Good,189 reviews,"VND 1,620,000",Breakfast included
ITNW SPACIOUS SEAVIEW,"10.93760550956,108.18449699895",,,One-Bedroom Apartment,,2,3 out of 5,8.7,Fabulous,20 reviews,"VND 1,044,000",
Oceanique Villas,"10.944789462648,108.272009967432",,,Apartment,,6,4 out of 5,9.3,Superb,25 reviews,"VND 9,207,000",Breakfast included
Anantara Mui Ne Resort,"10.9415183414726,108.191691040993",,,Premier Double or Twin Room,,2,5 out of 5,8.6,Fabulous,102 reviews,"VND 4,021,707","Breakfast included,FREE cancellation,• No prepayment needed"
Mui Ne Resort,"10.9549202520911,108.234827518336",,,Bungalow (2 Adults),,2,2 out of 5,7.2,Good,170 reviews,"VND 500,000",Breakfast included
Nha Que Homestay,"10.9427207,108.1145094",,,King Room,,2,,7.8,Good,145 reviews,"VND 270,000",
Stop And Go Lang Chai Boutique Resort,"11.066311,108.4118",,,Double Room with Balcony (2 Adults + 1 Child),,2,,7.9,Good,23 reviews,"VND 960,000","Breakfast included,FREE cancellation,• No prepayment needed"
Allezboo Beach Resort & Spa,"10.9390929238306,108.18998247385",,,Superior Double or Twin Room,,2,4 out of 5,8.1,Very good,71 reviews,"VND 1,215,000",Breakfast included
Nha Que Homestay,"10.9427207,108.1145094",,,King Room,,2,,7.8,Good,145 reviews,"VND 270,000",
Song Huong Hotel Mui Ne,"10.9553199329515,108.234279155731",,,Deluxe Queen Room,,2,2 out of 5,7.9,Good,592 reviews,"VND 252,000",
Dang Duy Hotel,"10.647228,107.720686",,,Deluxe Double Room,,2,,8.2,Very good,168 reviews,"VND 250,000",
Hoang Nga Guesthouse,"10.9520730222375,108.255023360252",,,Double Room,,2,,8.0,Very good,254 reviews,"VND 267,750",
Phu Hai Resort,"10.9345290820059,108.168400079012",,,Deluxe Room,,2,4 out of 5,8.9,Fabulous,264 reviews,"VND 1,795,500","FREE cancellation,• No prepayment needed"
Rang Garden Beach Side,"10.9551937001494,108.230465184378",,,Standard Quadruple Room with Street View,,4,,6.0,Review score,279 reviews,"VND 666,843",
Friendly Phan Thiet,"10.939036,108.157325",,,Superior King or Twin Room,,2,3 out of 5,7.4,Good,22 reviews,"VND 519,030","Breakfast included,FREE cancellation,• No prepayment needed"
Thanh Bình Hotel,"10.660479,107.771834",,,Double Room,,2,,9.0,Superb,33 reviews,"VND 390,000",
Hon Rom Central Beach Resort,"10.9610839017281,108.32010447979",,,Superior Double Room,,2,3 out of 5,7.2,Good,159 reviews,"VND 700,900","Breakfast included,FREE cancellation,• No prepayment needed"
1001 Nights Hotel,"10.9444151226353,108.195204734802",,,Standard Double Room,,2,3 out of 5,8.1,Very good,31 reviews,"VND 459,000","FREE cancellation,• No prepayment needed"
Hon Ba Lagi Beach Resort,"10.66878,107.78751",,,Standard Double Room,,2,3 out of 5,6.5,Review score,58 reviews,"VND 1,071,000",Breakfast included
Sun Villa Muine,"10.939391,108.159053",,,Deluxe Family Suite,,9,4 out of 5,6.7,Review score,6 reviews,"VND 6,500,000",
Thai Hoa Mui Ne Resort,"10.9425927872438,108.277700096369",,,Superior Bungalow with Garden View,,2,3 out of 5,6.7,Review score,48 reviews,"VND 815,400","Breakfast included,FREE cancellation,• No prepayment needed"
ANAMI MUINE Beach Resort and Spa,"10.9399836212083,108.190037310124",,,Standard Double Room,,2,3 out of 5,7.1,Good,61 reviews,"VND 908,160","Breakfast included,FREE cancellation,• No prepayment needed"
Van Thanh Hotel,"10.9549512668606,108.21541249752",,,Double Room,,2,,7.9,Good,309 reviews,"VND 175,950",
OYO 960 Hoai Tam,"10.935592148704,108.136613095102",,,Deluxe Double Room,,2,,8.7,Fabulous,124 reviews,"VND 250,418",
Flora Hotel - Phan Rí Cửa,"11.17881,108.574162",,,Deluxe Double Room - No Window,,2,,8.3,Very good,36 reviews,"VND 300,000",
Mui Ne Alena Bungalow Hotel,"10.9548646332731,108.237681600208",,,Deluxe Double Room,,2,3 out of 5,7.8,Good,186 reviews,"VND 495,200","FREE cancellation,• No prepayment needed"
Mui Ne Hills Bliss Hotel,"10.9486016928851,108.199145067483",,,Standard Double Room,,2,3 out of 5,8.0,Very good,892 reviews,"VND 400,000",
Jardin Des Thes,"10.9552066998438,108.232302367687",,,Standard Twin Room,,2,3 out of 5,7.4,Good,21 reviews,"VND 800,000","Breakfast included,FREE cancellation,• No prepayment needed"
Resort Bao Anh Sunset Beach,"10.6322756658132,107.724300529114",,,Double Room,,2,2 out of 5,5.9,Review score,94 reviews,"VND 764,150",Breakfast included
Le Viva Muine Resort,"10.9520782889503,108.253017067909",,,Deluxe Double or Twin Room with Garden View,,2,4 out of 5,8.0,Very good,6 reviews,"VND 990,000",Breakfast included
Sea Links Villa Resort & Golf,"10.9436356279435,108.17999124527",,,Three-Bedroom Villa,,6,4 out of 5,7.6,Good,36 reviews,"VND 3,500,000",
Amaryllis Resort & Spa,"10.9348609043795,108.170737624168",,,Superior Room,,2,4 out of 5,8.5,Very good,177 reviews,"VND 1,053,000",Breakfast included
Pacific Beach Resort,"10.95510926667,108.233367204666",,,Standard Double Room,,2,3 out of 5,7.7,Good,55 reviews,"VND 540,000",Breakfast included
Mui ne Sports Resort,"10.9532002963688,108.247275936951",,,Superior Double Room,,2,,8.3,Very good,12 reviews,"VND 350,000","FREE cancellation,• No prepayment needed"
Villa Sea View Phan Thiet Mui Ne,"10.9395494794811,108.180056923309",,,Villa,,12,4 out of 5,8.8,Fabulous,39 reviews,"VND 2,500,000",
Full Moon Village,"10.9907860949125,108.344542086124",,,Villa Deluxe Room,,2,4 out of 5,8.7,Fabulous,151 reviews,"VND 1,983,600",Breakfast included
Rang Garden Bungalow,"10.9553910327876,108.232715427876",,,Standard Double Room,,2,,5.9,Review score,85 reviews,"VND 267,885",
Palmira Beach Resort & Spa,"10.9423301452932,108.192471563816",,,Deluxe Double or Twin Room,,2,3 out of 5,7.9,Good,22 reviews,"VND 790,000",Breakfast included
Muine de Century Resort & Spa,"10.9520835556631,108.253172636032",,,Superior Double or Twin Room,,2,4 out of 5,7.9,Good,130 reviews,"VND 990,000",Breakfast included
Cham Villas Resort,"10.9455138438582,108.197740614451",,,Villa with Garden View,,2,4 out of 5,9.3,Superb,77 reviews,"VND 3,135,000",Breakfast included
Sea Links Beach Resort & Golf,"10.943415004802,108.179724216416",,,Superior Double or Twin Room with Pool View,,2,5 out of 5,8.2,Very good,84 reviews,"VND 2,453,600",Breakfast included
Dat Lanh Beach Resort,"10.7081098667255,107.835721373303",,,One-Bedroom Chalet,,2,3 out of 5,6.2,Review score,30 reviews,"VND 700,000",
Ngoc Nam Hotel,"10.6787937461333,107.762208542961",,,Family Room,,4,3 out of 5,8.2,Very good,44 reviews,"VND 530,000",
Tien Dat Resort,"10.9546563336572,108.237208127975",,,Deluxe Double or Twin Room,,2,3 out of 5,8.0,Very good,143 reviews,"VND 1,088,000",Breakfast included
Hotel Cát Tường,"10.6642,107.768265",,,Deluxe Family Room,,2,2 out of 5,8.3,Very good,39 reviews,"VND 230,000",
The Cliff Residence,"10.9373054494304,108.179175853729",,,Apartment with Sea View,,4,4 out of 5,8.9,Fabulous,74 reviews,"VND 3,301,622",
Viva Boutique Resort,"10.9551171666583,108.232353329659",,,Standard Double Room,,2,3 out of 5,7.8,Good,126 reviews,"VND 540,000",Breakfast included
Rock Water Bay,"10.735754438806,108.011675774924",,,Deluxe Villa with Ocean View,,2,4 out of 5,7.2,Good,42 reviews,"VND 1,600,000",Breakfast included
Ocean Villa C323,"10.9384023,108.1832506",,,One-Bedroom Apartment,,4,,,,,"VND 780,000",
MAY Bungalow,"10.9535817362165,108.247090628836",,,Double Room with Pool View,,2,2 out of 5,9.3,Superb,363 reviews,"VND 477,000",
Homestay Song Ngọc,"10.9384685741722,108.135723706043",,,Double Room,,2,,8.9,Fabulous,104 reviews,"VND 180,000",
Villa Panda at C Links Golf Resort,"10.9449549741759,108.182973861694",,,Premium Four-Bedroom Villa - Golf View & Sea View,,10,3 out of 5,7.6,Good,38 reviews,"VND 2,900,000",
Muine Sports Hotel - Khách sạn Thể Thao Mũi né,"10.9529681666515,108.247227421496",,,Standard Double or Twin Room,,2,2 out of 5,8.1,Very good,329 reviews,"VND 350,000","FREE cancellation,• No prepayment needed"
Grace Boutique Resort,"10.9549275671586,108.235573348371",,,Twin Superior Garden with Pool View,,2,3 out of 5,8.8,Fabulous,81 reviews,"VND 1,370,665",Breakfast included
Xin Chao Hotel,"10.9523890248444,108.213206380606",,,Standard Villa Room,,2,2 out of 5,8.4,Very good,331 reviews,"VND 340,000",
