,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
128,US,"Peppercorns and bay leaf kick off the nose of this block designate, and are then followed by roasted strawberry and tangy raspberry touches before a crushed rock minerality takes hold. There is a firm texture to the palate, where alpine-strawberry and ripe plum flavors are wrapped in a rocky veil. Drink now thorough 2037.",Henry Ayrton's Block Rapley Trail Vineyard,95,100,California,Central Coast,Santa Cruz Mountains,Matt Kettmann,@mattkettmann,Thomas Fogarty 2017 Henry Ayrton's Block Rapley Trail Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Thomas Fogarty
129,France,This wine is beautifully textured. The orange-peel and candied fruitiness are balanced by a dry core of botrytis that gives the wine weight while keeping a light touch. It has all the tight freshness and minerality typical of this great estate. Drink from 2026.,,95,45,Bordeaux,Barsac,,Roger Voss,@vossroger,Château Coutet 2018  Barsac,Bordeaux-style White Blend,Château Coutet
130,France,"This wine comes from an estate that is performing with distinction. It is rich, the tannins cushioned by ripe blackberry fruits and good acidity. Showing both structure and fruitiness, the wine will develop well, everything in balance. Drink from 2026.",,95,53,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Lafon-Rochet 2018  Saint-Estèphe,Bordeaux-style Red Blend,Château Lafon-Rochet
131,Portugal,"Produced from a field blend of over-80-year-old vines, this is magnificent. Old gold in color, the wine has great concentration and intensity from the long wood aging (bottled in 2018). There is richness and sweetness, both balanced by the dryness that comes from the long wood aging. This is a style of wine that demands sipping thoughtfully. Drink now.",Pacheca Colheita Old Tawny,95,500,Port,,,Roger Voss,@vossroger,Quinta da Pacheca 1962 Pacheca Colheita Old Tawny  (Port),Port,Quinta da Pacheca
132,US,"Driven by acidity and mineral-like complexity and texture, this cuvée is smooth and supple in texture, with a balanced style of richness and vibrancy. Tree-bark, pomegranate and tangerine flavors provide a contrast between savory elements and fruit, coalescing completely on the long finish.",Cuvée Eva Marie,95,95,California,Sonoma,Sonoma Mountain,Virginie Boone,@vboone,Three Sticks 2018 Cuvée Eva Marie Pinot Noir (Sonoma Mountain),Pinot Noir,Three Sticks
133,Italy,"Aromas of underbrush, rose, wild berry and new leather are front and center. Hailing from Montosoli, one of Montalcino's most revered vineyard sites, the full-bodied palate combines power and finesse, delivering ripe cherry, oak-driven spice and coffee bean alongside firm, close-grained tannins. Fresh acidity keeps it balanced. Give it time to fully develop. Drink 2026–2046.",,95,90,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Baricci 2016  Brunello di Montalcino,Sangiovese,Baricci
134,France,This wine shows the generous richness of the vintage while restraining it with fine tannins and pure black-currant acidity. The structure and fruits promise long-term aging. Drink this wine from 2027.,,95,60,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Prieuré-Lichine 2018  Margaux,Bordeaux-style Red Blend,Château Prieuré-Lichine
135,France,"From an estate in the southern part of Margaux, this wine has just the right mix of rich tannins and taut black-currant flavors to give upfront freshness and potential for further aging. Structured and fruity, it should be drunk from 2027.",,95,38,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Siran 2018  Margaux,Bordeaux-style Red Blend,Château Siran
136,France,"Hints of chamomile tea, smoke and lemon introduce this full-bodied but deeply mineral white. It's made predominantly from Roussanne accented by smaller proportions of Clairette, Bourboulenc and Grenache Blanc. Rich and generous, the wine is full of white-peach and pear flavors. Fresh in fruit, the palate lingers on notes of lime zest and sun-scorched garrigue. Delicious young, the wine should improve through 2035 and hold longer still.",La Clef de Saint Thomas,95,50,Rhône Valley,Châteauneuf-du-Pape,,Anna Lee C. Iijima,@annaleeiijima,Domaine Clef de Saint Thomas 2019 La Clef de Saint Thomas White (Châteauneuf-du-Pape),Rhône-style White Blend,Domaine Clef de Saint Thomas
137,US,"In collaboration with Yves Cuilleron, this is made in a Côte-Rôtie style with a touch of Viognier cofermented within. Lively in acidity and enduringly fresh, it offers varietal garrigue and brooding blackberry and cherry dappled in black and white pepper, the texture supple and impressive in length and breadth.",Cuilleron Vivio Vineyard,95,56,California,Sonoma,Bennett Valley,Virginie Boone,@vboone,MacLaren 2017 Cuilleron Vivio Vineyard Syrah (Bennett Valley),Syrah,MacLaren
138,France,"This second wine of Château Margaux, grand in its own right, is powerfully dense. It displays its own style and balance between rich black fruits and the acidity that shines through the structure. The wine will age well, its ripeness and concentration likely to soften as it matures. Drink from 2026.",Pavillon Rouge du Château Margaux,95,220,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Margaux 2018 Pavillon Rouge du Château Margaux  (Margaux),Bordeaux-style Red Blend,Château Margaux
139,France,"This beautifully textured wine is already balanced but has a fine future. The cool, crisp texture contrasts with ripe fruitiness and spice from wood aging. Drink this wine from 2023.",,94,40,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Olivier 2018  Pessac-Léognan,Bordeaux-style White Blend,Château Olivier
140,US,"Very dark aromas of espresso- spiked cassis meet with charred violets on the bold yet beautiful nose of this blend of 56% Petite Sirah, 16% Mourvèdre, 15% Syrah and 13% Grenache. That coffee, black-currant and purple-flower combination carries into the sip as well, where the structure ensures long-term enjoyment. Drink now until 2032.",Ingenuity,94,70,California,Central Coast,Paso Robles Willow Creek District,Matt Kettmann,@mattkettmann,Epoch 2017 Ingenuity Red (Paso Robles Willow Creek District),Red Blends,Epoch
141,US,"Tart black raspberry meets with crumpled oregano and dry, earthy loam on the nose of this bottling from a vineyard on the western edge of the appellation. There is a tight texture on the palate, where muddled plum, brisk berry and light chaparral flavors dance across the tongue.",Murmur Vineyard,94,60,California,Central Coast,Santa Maria Valley,Matt Kettmann,@mattkettmann,Amor Fati 2018 Murmur Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Amor Fati
142,US,"Impressive amounts of game and wet soil flash across the nose on this bottling at first, before the pepper, plum and pomegranate elements fill in. The palate is equally complex, showing more game and soil as well as thyme, peppercorns, rich strawberry and tart cranberry on the finish.",Rancho Santa Rosa,94,40,California,Central Coast,Sta. Rita Hills,Matt Kettmann,@mattkettmann,Foley 2018 Rancho Santa Rosa Pinot Noir (Sta. Rita Hills),Pinot Noir,Foley
143,US,"Showing aromas of marzipan, brioche and graham cracker, this sparkling blend is made from 60% Pinot Noir and 40% Pinot Meunier and spent three years en tirage. Layered swirls of white peach, green apple and wet stone give it vibrancy and a length of fruity flavor and freshness, leading to a complete, nutmeg-tinged finish.",Blanc de Noirs,94,65,California,Sonoma,Sonoma Coast,Virginie Boone,@vboone,J Vineyards & Winery 2016 Blanc de Noirs Sparkling (Sonoma Coast),Sparkling Blend,J Vineyards & Winery
144,France,"This richly structured wine is layered with dense black fruits and serious tannins. A big wine in every sense, it is concentrated and juicy. The wine is made by the team from nearby classed growth Château Calon Ségur. Drink from 2026.",,94,40,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Capbern 2018  Saint-Estèphe,Bordeaux-style Red Blend,Château Capbern
145,US,"In comparison to some of the brand's other offerings, this is an affordable way to check in on the Daou experience. Savory aromas of coffee bean meet with lush purple fruits on the nose. The palate is rounded in texture, with rich flavors of dark berry, cappuccino, milk chocolate and caramel.",Bodyguard,94,40,California,Central Coast,Paso Robles,Matt Kettmann,@mattkettmann,Daou 2018 Bodyguard Red (Paso Robles),Red Blends,Daou
146,US,"Fresh black raspberry, hibiscus and sumac carry the nose of this expressive bottling, which gains complexity from an accent of fennel pollen. The snappy berry and plum-skin flavors meet with rose petals and cinnamon on the palate.",Saveria Vineyards Reserve,94,49,California,Central Coast,Santa Cruz Mountains,Matt Kettmann,@mattkettmann,Lightpost 2019 Saveria Vineyards Reserve Pinot Noir (Santa Cruz Mountains),Pinot Noir,Lightpost
147,US,"A bold chalky aroma melds with Asian pear, Tuscan melon and light brushes of yuzu and Meyer lemon in this wine. The palate grabs hold with a texture that doesn't quit, carrying flavors of lemon bar and cashew that are rich in their own sneaky way.",Escolle Vineyard,94,35,California,Central Coast,Santa Lucia Highlands,Matt Kettmann,@mattkettmann,Caraccioli 2018 Escolle Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Caraccioli
148,France,"A well-constructed wine that is ripe with black fruits and integrated tannins, this is in a good place for aging. Black-currant fruitiness is balanced by a dry, smoky core that holds promise. Drink this wine from 2026.",,94,40,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Cantemerle 2018  Haut-Médoc,Bordeaux-style Red Blend,Château Cantemerle
149,US,"Given moderate time in French oak, just 20% of it new, this wine retains a lively freshness beneath the lush fruit. Bright notes throughout complement the rich, rewarding body of pear compote and nutmeg.",Green Acres Vineyard,94,65,California,Sonoma,Sonoma Coast,Virginie Boone,@vboone,Sangiacomo 2018 Green Acres Vineyard Chardonnay (Sonoma Coast),Chardonnay,Sangiacomo
150,US,"Roasted black plum, star anise, clove, charred beef and hints of tar show on the dynamic nose of this cool-climate Syrah bottling. The mouthfeel is lighter and airy, delivering freshly cracked peppercorn, lavender, dark berry and lightly gamy flavors of singed hair and flesh.",,94,45,California,Central Coast,Sta. Rita Hills,Matt Kettmann,@mattkettmann,Spear 2018 Syrah (Sta. Rita Hills),Syrah,Spear
151,Italy,"Underbrush, leather and red-skinned-berry aromas emerge from the glass. The juicy, balanced palate delivers cherry, crushed raspberry and tobacco alongside fine-grained tannins and bright acidity. Drink 2023–2035.",,94,80,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Capanne Ricci 2016  Brunello di Montalcino,Sangiovese,Capanne Ricci
152,France,"This structured wine is firm, with dark tannins that promise aging. The fruit hints at delicious black currant flavors and balanced acidity. It will be a stylish wine, but wait to drink until 2026.",,94,50,Bordeaux,Moulis-en-Médoc,,Roger Voss,@vossroger,Château Chasse-Spleen 2018  Moulis-en-Médoc,Bordeaux-style Red Blend,Château Chasse-Spleen
153,France,"The vineyard, on the edge of Saint-Emilion city, has produced a juicy, well-structured wine. Restrained tannins back up ripe black-currant fruitiness. An attractive smoky perfume from rich Cabernet Franc in the blend enhances complexity and density. Drink the wine from 2026.",,94,62,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château la Couspaude 2018  Saint-Émilion,Bordeaux-style Red Blend,Château la Couspaude
154,France,"This large estate to the north of Margaux village is performing well. There is still a tendency to overuse wood aging, but powerful black fruits will provide balance as the wine ages. With its structure and dark tannins, this wine has a long-term perspective. Drink from 2027.",,94,117,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Lascombes 2018  Margaux,Bordeaux-style Red Blend,Château Lascombes
155,US,"Creamy black cherry and cola spice give way to brisk hibiscus, funky earth and dried red flowers on the nose of this bottling. Taut strawberry, raspberry and dark-plum flavors meet with lavender and forest herbs on the palate, which is very tight in texture but steadily opens up over time.",Mindego Ridge Vineyard,94,62,California,Central Coast,Santa Cruz Mountains,Matt Kettmann,@mattkettmann,Thomas Fogarty 2017 Mindego Ridge Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Thomas Fogarty
156,France,"Fragrant whiffs of raspberry patches and violet blossoms perfume this fruit-focused red. A Grenache-dominant blend augmented by Syrah and Mourvèdre, it's sourced from vines averaging 40 years in age. The wine is ripe yet struck by cooling tones of minerality and soft, soothing tannins. Enchanting young the wine should hold well through 2028.",Cuvée Vieilles Vignes,94,65,Rhône Valley,Gigondas,,Anna Lee C. Iijima,@annaleeiijima,Domaine du Grand Montmirail 2018 Cuvée Vieilles Vignes  (Gigondas),Rhône-style Red Blend,Domaine du Grand Montmirail
157,France,"Complex on the nose, this perfumed blend of Grenache, Syrah and Mourvèdre opens on notes of violet and black currant shaded by fur, smoke and crushed earth. It's a brambly, blackberried sip lifted by crystalline minerality and a spry acidic edge. Delightful young, the wine is likely to improve through 2030.",Les Olympes,94,45,Rhône Valley,Gigondas,,Anna Lee C. Iijima,@annaleeiijima,Myriam Nicolas 2018 Les Olympes  (Gigondas),Rhône-style Red Blend,Myriam Nicolas
158,France,"Powerfully ripe yet vital and fresh, this full-bodied blend of Grenache (65%), Mourvèdre (20%) and Syrah (15%) was sourced from the highest vineyard plots in the producer's estate. It's an intense, fleshy sip heaving with sun-drenched black cherry and preserved-berry flavors accented by hints of bay leaf, crushed pepper and anise. Supple tannins and fresh acidity make it immediately enjoyable but the wine should stay at peak through 2028 and hold further still.",Domaine Grand Romane,94,50,Rhône Valley,Gigondas,,Anna Lee C. Iijima,@annaleeiijima,Pierre Amadieu 2018 Domaine Grand Romane  (Gigondas),Rhône-style Red Blend,Pierre Amadieu
159,Italy,"An earthy, refined nose of condensed red cherry, cranberry, violet and truffle starts off this Aglianico sourced from the Piano di Croce vineyard in Barile. There's a real sense of elegance on the palate, where lifted elements of violet and crushed stone bring power and poise to the rich berry fruit. It's an unforced expression that gives a real sense of place. Drink through 2030.",Cruà,94,,Southern Italy,,,Alexander Peartree,@apatrone23,Basilisco 2016 Cruà Aglianico,Aglianico,Basilisco
160,France,"This wine relishes its richness while keeping its tannins firmly under control. That makes for a texture that is both fresh with acidity and dense with powerful fruits. It is restrained, but promises a rich future. Drink from 2027.",,94,170,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château Certan de May de Certan 2018  Pomerol,Bordeaux-style Red Blend,Château Certan de May de Certan
161,France,"The estate is surrounded by the suburbs of the city of Libourne and this wine is produced by the team at Château Cheval Blanc. That combination has produced a sequence of fine wines, like this release. Rich fruits have been given a sheen of wood aging and crafted tannins to make a wine that will age well. Drink from 2026.",,94,50,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Quinault L'Enclos 2018  Saint-Émilion,Bordeaux-style Red Blend,Château Quinault L'Enclos
162,France,"Rich with great fruits and structure, this wood-aged wine brings out the crisp texture of Sauvignon Blanc while having a creamy character and light toastiness. The wine is ready to age, so wait until 2023.",,94,48,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Latour-Martillac 2018  Pessac-Léognan,Bordeaux-style White Blend,Château Latour-Martillac
163,Portugal,"This powerful wine shows the structure and richness possible from this fine quinta. From selected fruit, the wine has dense black plum and berry fruits, dark tannins and serious aging potential. Drink this impressive wine from 2024.",Reserva,94,60,Douro,,,Roger Voss,@vossroger,Quinta da Romaneira 2018 Reserva Red (Douro),Portuguese Red,Quinta da Romaneira
164,US,"Lightly buttered orange slices, warm brioche and sharp tangerine-peel aromas show on the nose of this bottling from an epic and dramatic vineyard. It's very suave on the palate, where buttered toast and marmalade flavors are framed by hints of oak and fresher citrus.",Radian Vineyard,94,45,California,Central Coast,Sta. Rita Hills,Matt Kettmann,@mattkettmann,Ken Brown 2018 Radian Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,Ken Brown
165,France,"Dominated by Cabernet Sauvignon, this is one of a pair of second wines from this estate. With its classic Pauillac black-currant flavors and dense tannins, the wine is a slow developer. By 2025, it should show great fruits and a balanced texture.",Les Griffons de Pichon Baron,94,52,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Pichon Baron 2018 Les Griffons de Pichon Baron  (Pauillac),Bordeaux-style Red Blend,Château Pichon Baron
166,Italy,"Underbrush, rose, leather and dark spice aromas lift out of the glass along with a whiff of camphor. The linear, elegantly structured palate doles out juicy Marasca cherry, orange zest, star anise and crushed mint alongside tightly wound but refined tannins and bright acidity. It's still young and nervous so give it time to fully develop. Drink 2026–2036.",,94,60,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,La Gerla 2016  Brunello di Montalcino,Sangiovese,La Gerla
167,US,"Made in tiny amounts from the historic site still farmed by the Tofanelli family, this wine offers plum, blueberry, leather and old-vine complexity—the tannins grippy but elongated and eventually supple. It has fresh, lively acidity that keeps if crisp and inviting throughout.",Tofanelli Vineyard,94,85,California,Napa,Napa Valley,Virginie Boone,@vboone,Matt Morris 2018 Tofanelli Vineyard Charbono (Napa Valley),Charbono,Matt Morris
168,US,"Fresh and inviting on the nose, this block-designated bottling begins with aromas of strawberry compote, citrus rind and dewy forest herbs. Refreshing strawberry and red-melon flavors pop on the palate, surrounded by oregano, marjoram, bay leaf, white-pepper and pine-resin touches.",Block 13,94,60,California,Central Coast,Sta. Rita Hills,Matt Kettmann,@mattkettmann,Spear 2018 Block 13 Pinot Noir (Sta. Rita Hills),Pinot Noir,Spear
169,Portugal,"This quinta, which for many years supplied grapes rather than producing wine, has taken on a new lease of life. This Vintage Port has a fine, perfumed character, spicy with plenty of dry tannins that are set to propel the wine into long-term aging. Drink this rich wine from 2030.",Vintage,94,100,Port,,,Roger Voss,@vossroger,Quinta da Corte 2017 Vintage  (Port),Port,Quinta da Corte
170,France,"This estate is continuing its rise under the tutelage of the Vauthier family of Château Ausone. With firm tannins, dark black fruits, smoky flavors and touches of spice, the wine will need time. Drink from 2026.",,94,81,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château la Clotte 2018  Saint-Émilion,Bordeaux-style Red Blend,Château la Clotte
171,France,"While this wine is rich, it also has style and delicious potential. Blackberry fruits and touches of wood aging show it is still young. These will work together well as the wine matures and give a ripe wine full of Merlot fruits that's ready to drink from 2025.",,94,26,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Clos des Jacobins 2018  Saint-Émilion,Bordeaux-style Red Blend,Clos des Jacobins
172,Australia,"Clover Hill's range of bubbly demonstrates Tasmania's ability to make traditional method sparklers that give Champagne a run for its money. The Vintage 2014 Brut is honeycomb hued with a heady, floral perfume reminiscent of jasmine and backed by subtler butterscotch and baked apple notes. The palate is opulent in flavor and mousse but is restrained, dry and refreshing, with the floral and apple notes lingering long on the finish.",Vintage Brut,94,40,Tasmania,Tasmania,,Christina Pickard,@ckpickard,Clover Hill 2014 Vintage Brut Sparkling (Tasmania),Sparkling Blend,Clover Hill
173,US,"Asphalt, tar and uncracked black pepper aromas make for a spicy, reductive nose on this bottling, which saw 66% whole cluster fermentation, yet there are also waves of riper black-raspberry jam and warm hints of toast. It's light in the glass, offering dried cranberry, white pepper and eucalyptus-leaf flavors.",Block 19,94,60,California,Central Coast,Sta. Rita Hills,Matt Kettmann,@mattkettmann,Spear 2018 Block 19 Syrah (Sta. Rita Hills),Syrah,Spear
174,Australia,"Tolpuddle has quickly risen in the ranks to become one of Australia's most renowned single vineyards. The Chard is a rich, polished style that won't be for everyone, but is still all class. Reductive notes of oyster shell and gun flint perch neatly beside baked apple, nougat and high-end oak on the nose. The palate carries out the nose's promises of richness albeit with a good deal of refreshment. (This is cool climate territory after all.). Sleek, slippery and made for the long haul (drink until 2036, at least), this is a nod to Burgundy with Tassie roots.",,94,64,Tasmania,Tasmania,,Christina Pickard,@ckpickard,Tolpuddle 2019 Chardonnay (Tasmania),Chardonnay,Tolpuddle
175,Australia,"This vintage of single-block, biodynamically grown Shiraz is more textbook than the cooler 2017. While it lacks the sexiness of '17, it still offers more restraint and elegance than many of its South Aussie counterparts. An aromatic lift of tangy blueberry, raspberry and plum fruit interlaces gentle baking spice, ground pepper and terra-cotta notes. There's muscle to the highly textural tannins (both chalky and granular), but it's woven into layers of flavor. A charming yet serious wine for drinking now until 2030.",King's Wood,94,55,South Australia,McLaren Vale,,Christina Pickard,@ckpickard,Yangarra 2018 King's Wood Shiraz (McLaren Vale),Shiraz,Yangarra
176,US,"Light aromas of honeysuckle, sea salt, white peach and nectarine show on the nose of this classic bottling, from a 2,200-foot-high vineyard. There is a strong streak of limestone flavor to the sip, with warmer hints of white peach and toast.",,94,55,California,Central Coast,Mt. Harlan,Matt Kettmann,@mattkettmann,Calera 2018 Chardonnay (Mt. Harlan),Chardonnay,Calera
177,US,"This is a savory, earthy and truly expressive site, evocative of its high-elevation coastal site. Black tea, forest floor and quenching acidity support citrus overtones that complement the wild strawberry and raspberry at its elegant core, with a wealth of well-integrated finishing tannin.",Sea View Ridge,94,80,California,Sonoma,Sonoma Coast,Virginie Boone,@vboone,Flowers 2018 Sea View Ridge Pinot Noir (Sonoma Coast),Pinot Noir,Flowers
178,France,"From a vineyard to the west of the main Margaux estate, this 100% Sauvignon Blanc is rich, packed with yellow fruits as well as a straight line of citrus. Wood aged, it shows toastiness that underlines the richness and ripe fruit. While the wine can be drunk now, that would be a shame because it will be so much better from 2022.",Pavillon Blanc du Château Margaux,94,240,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Margaux 2018 Pavillon Blanc du Château Margaux  (Bordeaux Blanc),Sauvignon Blanc,Château Margaux
179,US,"This 100% varietal wine comes from marquee vineyards along the Rutherford bench, where gravelley soils dominate. An Old World nose of cedar, tobacco and dried herb lead to a soft, supple core of sultry black cherry, blackberry and nutmeg, with a lingering taste of licorice adding complex intrigue to the integrated tannin and oak.",,94,120,California,Napa,Rutherford,Virginie Boone,@vboone,Cornerstone 2017 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Cornerstone
180,France,"A whisper of tar lends an earthen, smoky undertone to sultry black-currant and plum flavors in this 100% Syrah. Matured 12 months in used-oak barrels, it is weighty and powerful, packed with black fruit and a sylph-like frame of acidity. Soft, silky tannins make it immediately enjoyable but it should improve well through 2030.",L'Instinct,94,40,Rhône Valley,Saint-Joseph,,Anna Lee C. Iijima,@annaleeiijima,Domaine Jolivet 2018 L'Instinct  (Saint-Joseph),Syrah,Domaine Jolivet
181,Portugal,"From one of the Douro's grandest quintas, this wood-aged wine is dense, rich with intense and impressive swathes of black fruits. Big tannins and succulent blackberry flavors surround this solid core of ageworthy tannins and structure. Drink from 2023.",Reserva,94,55,Douro,,,Roger Voss,@vossroger,Quinta da Foz 2017 Reserva Red (Douro),Portuguese Red,Quinta da Foz
182,South Africa,"A blend of 26% Chenin Blanc, 26% Chardonnay, 23% Roussanne, 21% Verdelho and 4% Muscat, this opens with initial aromas of toasted apple, spiced pear, peach pit and pie crust, with a hint of singed orange peel in the back. The medium-bodied palate shows good fruit richness graced with a lovely toasty overlay. It sounds decadent, but superbly bright and vibrant acidity and a saline freshness on the finish keep it all in balance.",Hemelrand Vine Garden,94,45,Hemel-en-Aarde Ridge,,,Lauren Buzzeo,@laurbuzz,Alheit 2017 Hemelrand Vine Garden White (Hemel-en-Aarde Ridge),White Blend,Alheit
183,France,"From a 19th-century winery that's a prominent landmark on the Pauillac riverfront, this wine is dense with tannins and vivid with black fruits. The estate's three parcels have given a rich wine, concentrated and dense while also having layers of dark fruits. Drink this promising wine from 2026.",,94,59,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Grand-Puy Ducasse 2018  Pauillac,Bordeaux-style Red Blend,Château Grand-Puy Ducasse
184,France,"Black fruits and tannins combine well in this structured wine. There is a succulent character to the fruit, with acidity and a fresh aftertaste working together. Still young, the wine should be ready from 2026",,94,56,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Larrivet Haut-Brion 2018  Pessac-Léognan,Bordeaux-style Red Blend,Château Larrivet Haut-Brion
185,France,"The estate is under the same ownership as Château Lynch-Bages in Pauillac. Rich and smoky, this sophisticated, rich wine has some serious tannins as well as black fruits. The wine shows great pedigree, with dark berry fruits and a firm, ageworthy structure. Drink from 2026.",,94,50,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château les Ormes de Pez 2018  Saint-Estèphe,Bordeaux-style Red Blend,Château les Ormes de Pez
186,France,"Smoothly textured with a line of citrus and apple flavors, this wine (one of two second white wines at the estate) has subtle wood-aging flavors that support the fruits and give richness and pleasure. The wine will benefit from a little further aging, so drink from 2022. Organic and biodynamic.",Les Hauts de Smith,94,45,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Smith Haut Lafitte 2018 Les Hauts de Smith  (Pessac-Léognan),Bordeaux-style White Blend,Château Smith Haut Lafitte
187,US,"Sumptuous in strawberry, blackberry and nutmeg spice, with prominent tannin structure, this is a balanced wine sourced from enviable sites such as Hallberg, Rochioli and Martaella. Orange peel, black tea and dried herb accent a creamy, decadent texture that is never weighted down, boosted by buzzy acidity throughout.",Russian River Selection,94,45,California,Sonoma,Russian River Valley,Virginie Boone,@vboone,Gary Farrell 2018 Russian River Selection Pinot Noir (Russian River Valley),Pinot Noir,Gary Farrell
188,US,"From grower Peter Heitz and winemaker Françoise Peschon, this rare breed is plummy and rich in dark chocolate. Soft on the palate, it dashes through highlights of dusty sage, cranberry and Christmas spice before finding its foundation of vibrant structure on the finish.",Shypoke Vineyard,94,85,California,Napa,Napa Valley,Virginie Boone,@vboone,Matt Morris 2018 Shypoke Vineyard Charbono (Napa Valley),Charbono,Matt Morris
189,US,"Crisp raspberry and pomegranate aromas are dusted with light herbs, wet earth and forest-mushroom touches on the nose of this bottling, which is light in the glass. A similarly complex combination pops on the sip, with plum and cranberry, dried and fresh herbs and even cracked pepper spice.",Eden Rift North Slope,94,40,California,Central Coast,Cienega Valley,Matt Kettmann,@mattkettmann,Seabold Cellars 2018 Eden Rift North Slope Pinot Noir (Cienega Valley),Pinot Noir,Seabold Cellars
190,US,"Dark-cherry and black-raspberry aromas meet with loads of crushed slate and dried loam as well as hibiscus and rosewater on the dynamic nose of this bottling. The palate is also very rocky and mineral-driven, while showing darker plum and purple-flower flavors.",Stone Corral Vineyard,94,60,California,Central Coast,Edna Valley,Matt Kettmann,@mattkettmann,Stephen Ross 2018 Stone Corral Vineyard Pinot Noir (Edna Valley),Pinot Noir,Stephen Ross
191,South Africa,"An aroma of lightly toasted oak gives way to scents of brambly berry, raspberry sauce and cherry pie on the nose of this enticing Pinot. The palate is medium in weight and satiny in feel, with more ripe red fruit tones that are framed by plush but structured tannins and ample acidic lift to keep the finish bright. Baking spice and forest floor tones grace the enduring finish, along with a touch of sweet orange oil.",Ridge,94,55,Hemel-en-Aarde Ridge,,,Lauren Buzzeo,@laurbuzz,Storm 2018 Ridge Pinot Noir (Hemel-en-Aarde Ridge),Pinot Noir,Storm
192,Italy,"Mocha, truffle, anisette and camphor aromas lead the nose along with a floral whiff of violet. It's full bodied and bracing, offering dried black cherry, licorice and tobacco alongside firm, close-grained tannins. Give it time to fully unwind. Drink 2024–2036.",Vallocchio,94,70,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Fanti 2016 Vallocchio  (Brunello di Montalcino),Sangiovese,Fanti
193,France,"This smoky wine still shows some wood aging flavors. Structure comes from this wood aging as well as the rich blackberry-fruit tannins and concentration. The succulent Cabernet Sauvignon is ripe and full. It needs time, so drink from 2026.",,94,77,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Lagrange 2018  Saint-Julien,Bordeaux-style Red Blend,Château Lagrange
194,France,"The effort that has gone into improving this estate is paying off. A wine like this allows the château to take its rightful classed growth place. Full of rich tannins, the wine also has the stylishness of a Margaux with a fine line of black-currant fruits and a ripe texture. Drink from 2026.",,94,56,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Rauzan-Gassies 2018  Margaux,Bordeaux-style Red Blend,Château Rauzan-Gassies
195,US,"Dazzling spicy aromas and vibrant black-fruit flavors converge beautifully in this bold but balanced wine. Scents of wood smoke, toasted oak, cardamom and black pepper meet black cherry, aged beef and blueberry on the palate, buoyed by moderate tannins and subtle nervy acidity. Best from 2023.",Ten Degrees,94,130,California,Mendocino County,Anderson Valley,Jim Gordon,@gordone_cellars,Goldeneye 2017 Ten Degrees Pinot Noir (Anderson Valley),Pinot Noir,Goldeneye
196,Italy,"Aromas of espresso, clove and licorice mingle with balsamic notes of camphor. Elegantly structured, the focused, linear palate offers dried cherry, blood orange and star anise framed in firm, close-grained tannins that grip the finish. Drink after 2026.",Rennina,94,185,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Pieve Santa Restituta 2016 Rennina  (Brunello di Montalcino),Sangiovese,Pieve Santa Restituta
